N,Voters,Tellers,Threshold,Setup,Voting (avg.),Tallying (Mixing),Tallying (Decryption),Notification,Verification (avg.),Coercion Mitigation,Individual Views
1,1000,3,3,0.000449419,0.009200705,42.37916136,5.144536495,0.607772112,0.00538862,0.000713587,13.44774628
2,1000,3,3,0.000438008,0.008044888,41.95798373,5.111767769,0.610758066,0.005306351,0.000718355,13.33070612
3,1000,3,3,0.000442743,0.008059276,42.24705029,5.197747946,0.594442844,0.005341185,0.000721216,14.00740218
4,1000,3,3,0.000444174,0.007993016,42.11222386,5.175525904,0.591157675,0.005240726,0.000709057,13.60139346
5,1000,3,3,0.000443459,0.008049025,42.36855388,5.148849249,0.595349789,0.005346,0.000708342,13.67199206
6,1000,3,3,0.000445127,0.008027788,42.77218461,5.169916868,0.638255358,0.005513209,0.000712872,13.58630395
7,1000,3,3,0.000447989,0.008027346,41.79619503,5.219483376,0.747613907,0.005272373,0.000711441,13.33847642
8,1000,3,3,0.000451088,0.008259219,41.7355206,6.438860655,0.8362391,0.006092079,0.000712395,15.1920495
9,1000,3,3,0.000448227,0.010994169,42.20245385,5.977038145,0.701326609,0.005811817,0.001352787,14.86039686
10,1000,3,3,0.000437737,0.008659502,42.48174882,6.056510448,0.646540165,0.005876564,0.000706434,15.87122321
11,10000,3,3,0.000449657,0.008935959,1514.737399,32.28578305,8.44273591,0.029643492,0.000756741,233.428005
12,10000,3,3,0.000448704,0.008920778,1552.728022,35.86365342,10.84377646,0.031488102,0.000769377,267.2283661
13,10000,3,3,0.000457287,0.009291027,1557.391613,33.51617289,8.948950768,0.032993956,0.000771046,269.5004625
14,100000,3,3,0.000489798,0.019838497,6846.342453,1096.456274,15.37583745,0.374285753,0.000647383,3641.748378
